2026-02-19 15:16:16,939 | INFO | root | Starting Training Pipeline...
2026-02-19 15:16:17,033 | INFO | root | Data Ingestion Completed...
2026-02-19 15:16:17,128 | INFO | root | Data Analysis Completed...
2026-02-19 15:16:18,494 | INFO | root | Data Visualization Completed...
2026-02-19 15:16:18,595 | INFO | root | Data Transformation Completed...
2026-02-19 15:23:31,006 | INFO | root | Model Trainer Completed...
2026-02-19 15:23:31,007 | INFO | root | Model Selector Completed...
2026-02-19 15:23:31,007 | INFO | root | Best Model: XGBoost
2026-02-19 15:23:31,007 | INFO | root | Best Metrics: {'accuracy': 0.7260468417317246, 'precision': 0.49032258064516127, 'recall': 0.8128342245989305, 'f1_score': 0.6116700201207244, 'roc_auc_score': 0.8457296752693173, 'confusion_matrix': [[719, 316], [70, 304]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.91      0.69      0.79      1035\n           1       0.49      0.81      0.61       374\n\n    accuracy                           0.73      1409\n   macro avg       0.70      0.75      0.70      1409\nweighted avg       0.80      0.73      0.74      1409\n'}
2026-02-19 15:23:31,017 | INFO | root | Model Saver Completed...
2026-02-19 15:23:31,019 | INFO | root | Training Pipeline Completed...
